structure,pipe_radius,N_bead,N_bond,N_xlink,N_chain_bead,Rg,Rg_over_R,R95_over_R,R99_over_R,clearance_99_over_R
g1,36.0,56,60,8,48,3.689098321889975,0.10247495338583264,0.09526299690985432,0.09526299690985432,0.9047370030901457
g2,36.0,243,270,27,216,6.275221701853042,0.17431171394036227,0.19052599381970864,0.19052599381970864,0.8094740061802914
g3,36.0,640,720,64,576,8.770323540212184,0.24362009833922732,0.285788990729563,0.285788990729563,0.714211009270437
g4,36.0,1325,1500,125,1200,11.234884184605965,0.3120801162390546,0.3810519876394173,0.3810519876394173,0.6189480123605827
