structure,force,seed,status,steps,frames,r_mean_over_R,r_sd_over_R,Rg_mean_over_R,Gzz_mean,Gperp_mean,stretch_mean,clearance_min_over_R,clearance_p01_over_R
n4,0.005,104,done,4000001,2001,0.11572495482348025,0.05246551161884158,0.21795407567461847,25.48046722186445,18.059424975313224,1.4109235070715487,0.5313062532077741,0.5497344460649187
n4,0.005,105,done,4000001,2001,0.09462031984431787,0.03752772248835272,0.21684207318674206,23.856708980881788,18.549459031358445,1.2861134624223418,0.5404475410916431,0.573133184122121
n4,0.01,101,done,4000001,2001,0.18696461936083886,0.012358123350709255,0.23575101285267527,37.68758330834119,17.183963002542068,2.1931834526625766,0.5276587343982714,0.541650144618866
n4,0.01,102,done,4000001,2001,0.1728433852734932,0.016097758001946627,0.2342540441245498,36.61222636192657,17.26601291372478,2.120479496040655,0.5378487748268512,0.5488148709584879
n4,0.01,103,done,4000001,2001,0.06951665911077626,0.021727341154851747,0.22065532057615594,25.96990904392066,18.579663027325015,1.3977599596788621,0.6004491017211802,0.617561630385871
n4,0.01,104,done,4000001,2001,0.16058073474137377,0.044413045524765396,0.2328785084870207,35.52506494136203,17.40796998539827,2.040735649886822,0.5120281761488813,0.5365051138157401
n4,0.01,105,done,4000001,2001,0.18725532807287784,0.015559060691798474,0.2359431372847247,37.751156463738496,17.212128333551554,2.1932881124381503,0.5181013319109771,0.535158106381973
n4,0.0,101,done,4000001,2001,0.068652914228277,0.029399385333973578,0.21146548000730422,19.173676682682743,19.39235979566846,0.9887232335161931,0.5523092048402881,0.5780280567383813
n4,0.0,102,done,4000001,2001,0.24043002529370405,0.05454049884319986,0.21070101240928865,19.40860620449825,19.065727800017886,1.017984018657816,0.39403480607797153,0.40445781227133204
n4,0.0,103,done,4000001,2001,0.193007178118568,0.08852125779622194,0.2113305651109883,19.398527959281147,19.242837657406756,1.0080908182382584,0.3651594055353006,0.3823099767165527
n4,0.0,104,done,4000001,2001,0.4284782796027201,0.053896390152213695,0.21203481722035397,19.502901608295485,19.383340032093148,1.0061682649122585,0.1341683666698858,0.19128211153620317
n4,0.0,105,done,4000001,2001,0.14271562115224498,0.04526062637441606,0.21167327812982017,19.4598782626323,19.307019045351634,1.0079172873306648,0.4814944834078258,0.4947600442412345
